Add Recipient,Agregar un recipiente
Some emails was not sent,Algunos correos no fueron enviados
Some problems with data.,Algunos problemas con los datos.
Email:,Correo electrónico:
Email Address,Dirección de correo electrónico
Email Address:,Dirección de correo electrónico:
Email to a Friend,Enviar correo electrónico a un amigo
Send email,Enviar
Send product to a friend,Enviar un correo sobre este producto a un amigo
Enabled,Habilitado
Limit Sending By,Limitar el envío por
Max Products Sent in 1 Hour,Máxima cantidad de productos enviados en 1 hora
Maximum %d email addresses allowed.,Máximo de %d direcciones de correo permitidas.
Max Recipients,Máximos recipientes
Message:,Mensaje:
You cannot send more than %d times in an hour,No puede enviar más de %d veces en una hora
You cannot email this product to a friend,No puede enviar un correo sobre este producto a un amigo
Name,Nombre
Name:,Nombre:
Allow for Guests,Permitir para Invitados
Email templates,Plantillas de correo electrónico
Remove Email,Quitar dirección de correo
Recipient:,Recipiente:
Sender:,Remitente:
Link to a friend was sent.,Tu recomendaci�n ha sido enviada a tu amigo
Select email template,Seleccionar una plantilla de correo
